entry_timestamp_ist,setup_type,direction,entry_price,actual_exit_price,orig_result_state,orig_pnl_points,orig_opt_pnl_rupees,hybrid_result_state,hybrid_pnl_points,hybrid_opt_pnl_rupees,pnl_difference,config_used
2026-07-29 15:16:00 IST,EXHAUSTION_REVERSAL,BULLISH,24248.4,24236.4,SL_HIT,-12.0,-437.94,SL_HIT,-12.0,-437.94,0.0,OLD (Original)
2026-07-30 09:18:00 IST,OI_WALL_REJECTION,BULLISH,24250.75,24283.550000000003,T2_HIT,32.8,4723.99,T1_HIT,25.0,3600.6,-7.8,NEW (SL 16.0)
2026-07-30 09:34:00 IST,FAILED_BREAKOUT,BEARISH,24273.95,24273.95,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-07-30 09:52:00 IST,FAILED_BREAKOUT,BEARISH,24269.8,24269.8,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-07-30 10:40:00 IST,TREND_CONTINUATION,BEARISH,24241.75,24266.75,SL_HIT,-25.0,-2625.86,SL_HIT,-25.0,-2625.86,0.0,OLD (Original)
2026-07-30 13:10:00 IST,FAILED_BREAKOUT,BEARISH,24278.55,24293.55,SL_HIT,-15.0,-539.07,SL_HIT,-15.0,-539.07,0.0,OLD (Original)
2026-07-30 13:38:00 IST,TREND_CONTINUATION,BULLISH,24288.9,24263.9,SL_HIT,-25.0,-856.93,SL_HIT,-25.0,-856.93,0.0,OLD (Original)
2026-07-30 14:42:00 IST,TREND_CONTINUATION,BEARISH,24251.65,24276.65,SL_HIT,-25.0,-2537.77,SL_HIT,-25.0,-2537.77,0.0,OLD (Original)
2026-07-31 09:16:00 IST,FAILED_BREAKOUT,BULLISH,24357.55,24342.55,SL_HIT,-15.0,-534.88,SL_HIT,-15.0,-534.88,0.0,OLD (Original)
2026-07-31 10:54:00 IST,TREND_CONTINUATION,BULLISH,24349.75,24429.75,T2_HIT,80.0,2773.8,T2_HIT,80.0,2773.8,0.0,OLD (Original)
2026-07-31 11:26:00 IST,EXHAUSTION_REVERSAL,BULLISH,24370.5,24358.5,SL_HIT,-12.0,-450.51,SL_HIT,-12.0,-450.51,0.0,OLD (Original)
2026-07-31 11:49:00 IST,TREND_CONTINUATION,BULLISH,24361.1,24361.1,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-07-31 14:16:00 IST,EXHAUSTION_REVERSAL,BULLISH,24402.65,24390.65,SL_HIT,-12.0,-416.63,SL_HIT,-12.0,-416.63,0.0,OLD (Original)
2026-07-31 14:27:00 IST,EXHAUSTION_REVERSAL,BULLISH,24406.25,24394.25,SL_HIT,-12.0,-423.82,SL_HIT,-12.0,-423.82,0.0,OLD (Original)
2026-07-31 14:48:00 IST,EXHAUSTION_REVERSAL,BEARISH,24364.0,24376.0,SL_HIT,-12.0,-460.03,SL_HIT,-12.0,-460.03,0.0,OLD (Original)
2026-07-31 15:05:00 IST,EXHAUSTION_REVERSAL,BEARISH,24385.85,24397.85,SL_HIT,-12.0,-426.46,SL_HIT,-12.0,-426.46,0.0,OLD (Original)
2026-07-31 15:11:00 IST,EXHAUSTION_REVERSAL,BULLISH,24395.7,24383.7,SL_HIT,-12.0,-500.56,SL_HIT,-12.0,-500.56,0.0,OLD (Original)
2026-08-03 09:54:00 IST,TREND_CONTINUATION,BULLISH,24554.55,24554.55,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-08-03 10:45:00 IST,EXHAUSTION_REVERSAL,BULLISH,24582.45,24582.45,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,0.0,OLD (Original)
2026-08-03 12:44:00 IST,EXHAUSTION_REVERSAL,BULLISH,24594.2,24582.2,SL_HIT,-12.0,-460.62,SL_HIT,-12.0,-460.62,0.0,OLD (Original)
2026-08-03 13:09:00 IST,EXHAUSTION_REVERSAL,BEARISH,24582.65,24594.65,SL_HIT,-12.0,-464.74,SL_HIT,-12.0,-464.74,0.0,OLD (Original)
2026-08-03 13:37:00 IST,TREND_CONTINUATION,BULLISH,24599.3,24599.3,TIME_STOP,0.0,0.0,TIME_STOP,0.0,0.0,0.0,OLD (Original)
2026-08-03 14:05:00 IST,EXHAUSTION_REVERSAL,BULLISH,24589.9,24577.9,SL_HIT,-12.0,-448.84,SL_HIT,-12.0,-448.84,0.0,OLD (Original)
2026-08-03 14:27:00 IST,TREND_CONTINUATION,BULLISH,24590.45,24565.45,SL_HIT,-25.0,-933.82,SL_HIT,-25.0,-933.82,0.0,OLD (Original)
2026-08-03 14:44:00 IST,EXHAUSTION_REVERSAL,BEARISH,24596.3,24596.3,STOPPED_OUT_AT_BE,0.0,0.0,STOPPED_OUT_AT_BE,0.0,0.0,0.0,OLD (Original)
2026-08-03 15:00:00 IST,EXHAUSTION_REVERSAL,BULLISH,24594.85,24582.85,SL_HIT,-12.0,-460.94,SL_HIT,-12.0,-460.94,0.0,OLD (Original)
2026-08-03 15:06:00 IST,EXHAUSTION_REVERSAL,BEARISH,24572.0,24584.0,SL_HIT,-12.0,-492.03,SL_HIT,-12.0,-492.03,0.0,OLD (Original)
2026-08-03 15:10:00 IST,EXHAUSTION_REVERSAL,BEARISH,24570.85,24582.85,SL_HIT,-12.0,-493.16,SL_HIT,-12.0,-493.16,0.0,OLD (Original)
